robot_wr,robot_wl,robot_wr_ref,robot_wl_ref,robot_counter,encoder_right,encoder_left
0.324565,0.278737,1.6,1.6,54748,52,42
0.362605,0.287265,1.6,1.6,63642,54,43
0.363581,0.295028,1.6,1.6,7000,55,44
0.36446,0.302084,1.6,1.6,15895,56,45
0.365265,0.308509,1.6,1.6,24789,57,46
0.366663,0.319673,1.6,1.6,42577,59,48
0.39843,0.328916,1.6,1.6,60365,62,51
0.396178,0.332927,1.6,1.6,3723,63,52
0.427766,0.370214,1.6,1.6,12617,65,54
0.422863,0.370496,1.6,1.6,21512,66,55
0.418406,0.370757,1.6,1.6,30406,67,56
0.441269,0.40182,1.6,1.6,48194,70,59
0.435154,0.399258,1.6,1.6,57088,71,60
0.455142,0.459065,1.6,1.6,9340,74,64
0.481418,0.451346,1.6,1.6,18234,76,65
0.462825,0.468538,1.6,1.6,36023,79,68
0.488408,0.493606,1.6,1.6,44917,81,70
0.478045,0.516416,1.6,1.6,53811,82,72
0.502257,0.50353,1.6,1.6,62705,84,73
0.510699,0.545394,1.6,1.6,14957,87,77
0.498328,0.563538,1.6,1.6,23851,89,79
0.507435,0.564451,1.6,1.6,41640,92,82
0.495358,0.580878,1.6,1.6,50534,94,84
0.484369,0.595825,1.6,1.6,59428,96,86
0.508019,0.609433,1.6,1.6,2786,98,88
0.52953,0.621808,1.6,1.6,11680,100,90
0.549104,0.633067,1.6,1.6,20574,102,92
0.533272,0.643312,1.6,1.6,29468,104,94
0.58615,0.686275,1.6,1.6,38362,107,97
0.613782,0.696679,1.6,1.6,56151,111,101
0.67032,0.735917,1.6,1.6,8403,116,106
0.677209,0.736896,1.6,1.6,17297,118,108
0.683477,0.737786,1.6,1.6,26191,120,110
0.722821,0.738596,1.6,1.6,35085,123,112
0.724979,0.772975,1.6,1.6,43979,125,115
0.728723,0.768459,1.6,1.6,61768,130,119
0.765478,0.764735,1.6,1.6,14020,135,124
0.763793,0.763117,1.6,1.6,22914,137,127
0.760865,0.790916,1.6,1.6,40702,142,132
0.759596,0.82058,1.6,1.6,49596,145,135
0.792082,0.847572,1.6,1.6,58490,148,138
0.821653,0.838499,1.6,1.6,1848,151,140
0.814899,0.863865,1.6,1.6,10743,153,143
0.803177,0.907968,1.6,1.6,28531,159,149
0.857724,0.944482,1.6,1.6,46319,165,155
0.881369,0.92667,1.6,1.6,55213,168,157
0.902884,0.910462,1.6,1.6,64107,171,160
0.888827,0.895722,1.6,1.6,7465,174,163
0.943296,0.94957,1.6,1.6,16360,178,167
0.976762,0.948316,1.6,1.6,34148,184,173
0.956041,0.963799,1.6,1.6,43042,186,176
0.984283,0.960096,1.6,1.6,60830,193,182
0.996537,0.974529,1.6,1.6,4188,196,185
1.00768,0.95401,1.6,1.6,13082,199,188
1.01781,1.00262,1.6,1.6,21976,202,192
1.02702,1.0132,1.6,1.6,30871,206,195
1.03541,1.02284,1.6,1.6,39765,209,198
1.04305,1.06525,1.6,1.6,48659,212,202
1.08694,1.07471,1.6,1.6,911,219,208
1.08993,1.11245,1.6,1.6,9805,222,212
1.12878,1.11377,1.6,1.6,27593,230,218
1.12799,1.11434,1.6,1.6,36488,233,222
1.12729,1.14851,1.6,1.6,45382,236,226
1.16029,1.17959,1.6,1.6,54276,240,230
1.15667,1.17424,1.6,1.6,63170,243,233
1.15339,1.20302,1.6,1.6,6528,247,237
1.18404,1.19556,1.6,1.6,15422,251,240
1.20669,1.21623,1.6,1.6,33210,258,248
1.23254,1.20757,1.6,1.6,42104,262,251
1.24683,1.25677,1.6,1.6,59893,269,259
1.23543,1.24447,1.6,1.6,3251,272,262
1.25869,1.23327,1.6,1.6,12145,276,266
1.27985,1.25672,1.6,1.6,21039,280,270
1.26546,1.27806,1.6,1.6,29933,283,274
1.2741,1.31514,1.6,1.6,47721,291,282
1.31185,1.31219,1.6,1.6,65510,299,289
1.32824,1.2949,1.6,1.6,8868,303,293
1.34313,1.27916,1.6,1.6,17762,307,297
1.35668,1.26483,1.6,1.6,26656,311,301
1.33537,1.28544,1.6,1.6,35550,314,305
1.34963,1.30419,1.6,1.6,44444,319,309
1.36259,1.32125,1.6,1.6,53338,323,314
1.37439,1.33678,1.6,1.6,62232,327,318
1.3949,1.36375,1.6,1.6,14485,335,326
1.41187,1.38609,1.6,1.6,32273,343,334
1.41923,1.39577,1.6,1.6,41167,347,338
1.42593,1.40458,1.6,1.6,50061,351,342
1.39838,1.4126,1.6,1.6,58955,355,346
1.40697,1.41991,1.6,1.6,2313,360,350
1.42186,1.43257,1.6,1.6,20102,368,359
1.42832,1.43806,1.6,1.6,28996,372,364
1.43954,1.44761,1.6,1.6,46784,381,372
1.44441,1.45175,1.6,1.6,55678,385,376
1.44884,1.45552,1.6,1.6,64572,390,381
1.45288,1.45896,1.6,1.6,7930,394,385
1.45655,1.46208,1.6,1.6,16824,398,389
1.45987,1.4649,1.6,1.6,25719,403,394
1.4629,1.46748,1.6,1.6,34613,407,398
1.46818,1.47197,1.6,1.6,52401,416,407
1.47046,1.47391,1.6,1.6,61295,421,412
1.50809,1.51095,1.6,1.6,13547,430,421
1.50678,1.50938,1.6,1.6,22441,434,425
1.50558,1.54158,1.6,1.6,31336,439,430
1.50449,1.53725,1.6,1.6,40230,443,434
1.50351,1.53331,1.6,1.6,49124,448,439
1.50261,1.56337,1.6,1.6,58018,452,444
1.50181,1.5571,1.6,1.6,1376,457,448
1.531,1.61041,1.6,1.6,19164,466,458
